Date,Time,date_time,relative_humidity,altimeter,air_temp
,,,%,INHG,Fahrenheit
07/14/23,02:49AM,07/14/23-02:49AM,88.2,29.89,66.2
07/14/23,01:49AM,07/14/23-01:49AM,77.94,29.88,69.8
07/13/23,11:47PM,07/13/23-11:47PM,64.98,29.9,75.2
07/13/23,10:47PM,07/13/23-10:47PM,61.21,29.9,77
07/13/23,09:47PM,07/13/23-09:47PM,57.69,29.92,78.8
07/13/23,08:47PM,07/13/23-08:47PM,61.44,29.93,78.8
07/13/23,07:48PM,07/13/23-07:48PM,57.69,29.94,78.8
07/13/23,06:47PM,07/13/23-06:47PM,54.14,29.95,78.8
07/13/23,05:47PM,07/13/23-05:47PM,51.05,29.95,80.6
07/13/23,04:49PM,07/13/23-04:49PM,50.78,29.96,78.8
07/13/23,03:49PM,07/13/23-03:49PM,64.98,29.97,75.2
07/13/23,02:48PM,07/13/23-02:48PM,73.32,29.97,71.6
07/13/23,01:48PM,07/13/23-01:48PM,88.2,29.97,66.2
07/13/23,02:50AM,07/13/23-02:50AM,43.48,29.93,71.6
07/13/23,01:50AM,07/13/23-01:50AM,46.78,29.92,73.4
07/12/23,11:52PM,07/12/23-11:52PM,39.11,29.92,78.8
07/12/23,10:47PM,07/12/23-10:47PM,44.61,29.94,78.8
07/12/23,09:52PM,07/12/23-09:52PM,47.33,29.96,77
07/12/23,08:48PM,07/12/23-08:48PM,53.88,29.98,77
07/12/23,07:48PM,07/12/23-07:48PM,47.61,29.99,78.8
07/12/23,06:51PM,07/12/23-06:51PM,44.89,30,80.6
07/12/23,05:47PM,07/12/23-05:47PM,44.89,30,80.6
07/12/23,04:56PM,07/12/23-04:56PM,57.69,30,78.8
07/12/23,03:47PM,07/12/23-03:47PM,78.24,30.01,73.4
07/12/23,02:47PM,07/12/23-02:47PM,100,30,66.2
07/12/23,01:48PM,07/12/23-01:48PM,100,29.99,60.8
07/12/23,02:48AM,07/12/23-02:48AM,72.78,29.94,66.2
07/12/23,01:48AM,07/12/23-01:48AM,60.51,29.93,71.6
07/12/23,12:57AM,07/12/23-12:57AM,53.36,29.93,73.4
07/11/23,11:47PM,07/11/23-11:47PM,64.76,29.95,73.4
07/11/23,10:47PM,07/11/23-10:47PM,64.76,29.95,73.4
07/11/23,09:57PM,07/11/23-09:57PM,64.76,29.95,73.4
07/11/23,08:47PM,07/11/23-08:47PM,64.76,29.97,73.4
07/11/23,07:47PM,07/11/23-07:47PM,64.76,29.98,73.4
07/11/23,06:47PM,07/11/23-06:47PM,64.76,29.99,73.4
07/11/23,05:49PM,07/11/23-05:49PM,64.76,29.98,73.4
07/11/23,04:47PM,07/11/23-04:47PM,73.32,29.99,71.6
07/11/23,03:50PM,07/11/23-03:50PM,83.01,29.99,69.8
07/11/23,02:52PM,07/11/23-02:52PM,93.89,29.98,64.4
07/11/23,01:55PM,07/11/23-01:55PM,100,29.97,60.8
07/11/23,02:47AM,07/11/23-02:47AM,64.32,29.87,69.8
07/11/23,01:57AM,07/11/23-01:57AM,64.54,29.87,71.6
07/11/23,12:47AM,07/11/23-12:47AM,68.81,29.87,71.6
07/10/23,11:47PM,07/10/23-11:47PM,68.81,29.87,71.6
07/10/23,10:47PM,07/10/23-10:47PM,64.76,29.88,73.4
07/10/23,09:53PM,07/10/23-09:53PM,68.81,29.89,71.6
07/10/23,08:56PM,07/10/23-08:56PM,60.98,29.9,75.2
07/10/23,07:47PM,07/10/23-07:47PM,54.14,29.91,78.8
07/10/23,06:47PM,07/10/23-06:47PM,54.14,29.92,78.8
07/10/23,05:49PM,07/10/23-05:49PM,54.14,29.93,78.8
