API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
04237305400000,UNSPECIFIED,A-832,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,19.69,,,OIL,ACTIVE,1,131096412,COM,,,2023-11-01,D,,,,,,2023-11-01,2023-12-01,2,,,,,,,,,,,,1493.83,2,605.00,2,1393.00,2,8.9630,2,,,,1988.50,765.00,1861.00,42004.00,411.07,0.0119,11.9310,605.00,1393.00,32341.00,434.31,434.31,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,17.500000,,33.7599870,-118.1819830,,
04237305390000,UNSPECIFIED,A-802,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,19.79,,,OIL,ACTIVE,1,131096411,COM,,,2023-12-01,D,,,,,,2023-12-01,2023-12-01,1,,,,,,,,,,,,600.50,1,189.00,1,569.00,1,3.6030,1,,,,600.50,189.00,569.00,39046.00,332.16,0.0036,3.6030,189.00,569.00,39046.00,332.16,,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,19.900000,,33.7599250,-118.1822690,,
04237305380000,UNSPECIFIED,A-819,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,19.69,,,OIL,ACTIVE,1,131096472,COM,,,2023-08-01,D,,,,,,2023-08-01,2023-12-01,5,,,,,,,,,,,,1623.00,4,318.00,4,1570.00,4,9.7380,4,,,,6773.16,1333.00,6551.00,290702.00,203.48,0.0406,40.6390,312.00,1557.00,64962.00,200.39,209.63,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,15.700000,,33.7599830,-118.1821130,,
04237305370000,UNSPECIFIED,A-833,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,TAR,TAR,TAR,,,19.70,,,OIL,ACTIVE,1,131096513,COM,,,2023-08-01,D,,,,,,2023-08-01,2023-12-01,5,,,,,,,,,,,,3366.33,2,2006.00,2,3032.00,2,20.1980,2,,,,13281.82,7487.00,12034.00,164494.00,622.15,0.0797,79.6910,1202.00,1897.00,38192.00,633.63,661.61,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,13.200000,,33.7600100,-118.1819790,,
04237305340000,UNSPECIFIED,A-751,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,17.14,,,OIL,ACTIVE,1,131096444,COM,,,2023-10-01,D,,,,,,2023-10-01,2023-12-01,3,,,,,,,,,,,,973.17,2,181.00,2,943.00,2,5.8390,2,,,,2238.67,466.00,2161.00,93612.00,215.64,0.0134,13.4320,130.00,861.00,40463.00,150.99,191.94,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,15.100000,,33.7598340,-118.1824940,,
04237305300000,UNSPECIFIED,A-655,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,14.39,,,OIL,ACTIVE,1,131096410,COM,,,2023-06-01,D,,,,,,2023-06-01,2023-12-01,7,,,,,,,,,,,,6893.00,1,1302.00,1,6676.00,1,41.3580,1,,,,26592.50,5199.00,25726.00,304211.00,202.09,0.1596,159.5550,455.00,2272.00,44568.00,200.26,203.10,24244.67,4744.00,23454.00,259643.00,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,13.400000,,33.7592500,-118.1826460,,
04237305290000,UNSPECIFIED,A-767,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,19.82,,,OIL,ACTIVE,1,131096409,COM,,,2023-06-01,D,,,,,,2023-06-01,2023-12-01,7,,,,,,,,,,,,2116.50,5,321.00,5,2063.00,5,12.6990,5,,,,11999.34,1802.00,11699.00,258249.00,154.03,0.0720,71.9960,259.00,1713.00,43301.00,151.20,152.62,10243.17,1543.00,9986.00,214948.00,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,14.700000,,33.7599150,-118.1823640,,
04237305280000,UNSPECIFIED,A749,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,16.32,,,OIL,ACTIVE,1,131096512,COM,,,2023-05-01,D,,,,,,2023-05-01,2023-12-01,8,,,,,,,,,,,,1019.00,6,204.00,6,985.00,6,6.1140,6,,,,7027.85,1373.00,6799.00,488059.00,201.94,0.0422,42.1670,195.00,979.00,73620.00,199.18,194.88,5000.17,979.00,4837.00,343339.00,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,16.400000,,33.7598180,-118.1825100,,
04237305250000,UNSPECIFIED,A-652,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,MULTIPLE,,,14.97,,,OIL,ACTIVE,2,"130689210,131096658",MULTIPLE,MULTIPLE,,2023-09-01,D,,,,,,2023-09-01,2023-12-01,4,,,,,,,,,,,,3294.17,2,1303.00,2,3077.00,2,19.7650,2,,,,11258.84,4313.00,10540.00,115943.00,409.20,0.0676,67.5530,940.00,2167.00,42438.00,433.78,423.46,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7592340,-118.1826120,,
04237305240000,UNSPECIFIED,A-649,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,MULTIPLE,,,15.56,,,OIL,ACTIVE,2,"130689088,131096442",MULTIPLE,MULTIPLE,,2023-10-01,D,,,,,,2023-10-01,2023-12-01,3,,,,,,,,,,,,3657.00,1,1524.00,1,3403.00,1,21.9420,1,,,,7057.50,2907.00,6573.00,241289.00,442.26,0.0423,42.3450,586.00,1351.00,84985.00,433.75,438.15,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7592040,-118.1826270,,
