API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
04259216960000,STATE 3095,231,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,,,-39.37,,,OIL,ACTIVE,1,124816666,COM,,,2009-06-16,D,,,,,,2010-06-01,2024-03-01,131,,,,,,,,,,,,1475.67,2,957.00,36,1388.00,2,8.8540,2,,,,50334.14,43891.00,43019.00,759108.00,1020.27,0.3020,302.0050,336.00,349.00,8788.00,962.75,378.96,2132.00,762.00,2005.00,26224.00,,,,5737.33,2600.00,5304.00,73585.00,34.4240,,,,2120.0000,2028.0000,48726.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,,,24.200000,,33.7186390,-118.1141050,,
04259216950000,STATE 3095,230,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,,,-39.37,,,OIL,INACTIVE,1,124816658,COM,,,2009-06-16,D,,,,,,2010-05-01,2020-08-01,116,,,,,,,,,,,,5412.00,5,2298.00,5,5029.00,5,32.4720,5,,,,140336.52,101967.00,123342.00,1017871.00,826.70,0.8420,842.0190,62.00,64.00,3070.00,968.75,337.93,19373.83,7337.00,18151.00,63251.00,,,,35679.50,15453.00,33104.00,121813.00,214.0770,,,,4179.0000,3743.0000,46167.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,,,24.400000,,33.7186550,-118.1141050,33.7186550,-118.1141050
04259216940000,STATE 3095,132,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,,,-39.37,7100.00,,OIL,INACTIVE,1,124816654,COM,,,2009-06-16,D,,,,,,2010-05-01,2023-04-01,147,,,,,,,,,,,,5283.83,2,2297.00,12,5002.00,2,31.7030,2,,,,199186.51,152079.00,173840.00,1025612.00,874.82,1.1951,1195.1190,628.00,529.00,5241.00,1187.15,338.06,18923.83,7253.00,17715.00,76339.00,,,,35074.17,15397.00,32508.00,127080.00,210.4450,,,,7485.0000,6738.0000,64201.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,,,24.300000,,33.7186280,-118.1141360,,
04259216920000,STATE 3095,128,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,,,-39.37,6940.00,6940.00,OIL,ACTIVE,1,124816648,COM,,,2009-03-11,V,,,,,,2010-05-01,2024-03-01,166,,,,,,,,,,,,6455.33,9,4837.00,84,5900.00,9,38.7320,9,,,,452292.79,367319.00,391073.00,566370.00,939.26,2.7138,2713.7570,2432.00,2523.00,3284.00,963.93,337.90,19002.33,7292.00,17787.00,45208.00,,,,46624.00,21252.00,43082.00,88163.00,279.7440,,,,18902.0000,18186.0000,31892.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,,,24.200000,,33.7186850,-118.1141200,33.7186850,-118.1141200
04259216910000,STATE 3095,126,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,,,-39.37,,,OIL,ACTIVE,1,124816642,COM,,,2009-03-11,D,,,,,,2010-06-01,2023-12-01,149,,,,,,,,,,,,2602.50,11,1443.00,11,2362.00,11,15.6150,11,,,,109032.81,88091.00,94351.00,1156176.00,933.65,0.6542,654.1970,217.00,208.00,2046.00,1043.27,379.02,10578.83,4229.00,9874.00,77916.00,,,,19934.17,9031.00,18429.00,147792.00,119.6050,,,,5084.0000,4750.0000,70770.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,,,24.200000,,33.7187120,-118.1141200,,
04259216900000,STATE 3095,131,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,,,-39.37,6700.00,6700.00,OIL,ACTIVE,1,124816665,COM,,,2009-03-11,V,,,,,,2010-04-01,2023-12-01,162,,,,,,,,,,,,8230.17,9,3913.00,9,7578.00,9,49.3810,9,,,,386303.82,285017.00,338801.00,745872.00,841.25,2.3178,2317.8230,406.00,389.00,2501.00,1043.70,297.87,24105.17,8437.00,22699.00,40346.00,,,,67051.67,29386.00,62154.00,70492.00,402.3100,,,,8151.0000,7722.0000,39265.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,,,24.200000,,33.7186430,-118.1141360,33.7186430,-118.1141360
04259216890000,STATE 3095,223,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,,,-39.37,6900.00,6900.00,OIL,ACTIVE,1,124816670,COM,,,2009-03-11,V,,,,,,2010-07-01,2024-03-01,159,,,,,,,,,,,,1786.50,5,1003.00,137,1639.00,5,10.7190,5,,,,92588.56,71355.00,80696.00,1096315.00,884.24,0.5555,555.5310,220.00,228.00,5080.00,964.91,389.50,7089.00,3054.00,6580.00,87012.00,,,,13132.33,6230.00,12094.00,136293.00,78.7940,,,,3570.0000,3397.0000,76690.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,,,24.200000,,33.7187460,-118.1140820,33.7187460,-118.1140820
04259216880000,STATE 3095,125,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,,,-39.37,6655.00,,OIL,ACTIVE,1,124816657,COM,,,2009-03-11,D,,,,,,2010-06-01,2024-03-01,163,,,,,,,,,,,,2393.17,2,853.00,2,2251.00,2,14.3590,2,,,,126587.51,72933.00,114432.00,3630678.00,637.35,0.7595,759.5250,397.00,633.00,23024.00,627.17,378.94,8788.67,3502.00,8205.00,98580.00,,,,13832.67,6076.00,12820.00,171778.00,82.9960,,,,5013.0000,7324.0000,241750.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,,,24.200000,,33.7187230,-118.1141130,,
04259211290000,STATE 3095,123,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,MULTIPLE,,,-39.37,4010.00,,OIL,ACTIVE,2,"100188248,130242765",MULTIPLE,MULTIPLE,,1982-01-01,D,,,,,,1982-03-01,2024-02-01,233,,,,,,,,,,,,13264.33,199,4616.00,202,13133.00,200,79.5860,199,,,,693168.81,178133.00,663480.00,7591623.00,268.48,4.1590,4159.0130,309.00,815.00,34813.00,379.14,0.00,33325.00,0.00,33325.00,89583.00,,,,59703.00,0.00,59703.00,163990.00,358.2180,,,,4552.0000,12282.0000,487036.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7191430,-118.1145400,,
04259210750000,STATE 3095,207,STATE 3095,DCOR,DCOR,DCOR,,BELMONT OFFSHORE,ORANGE (WATERS) (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,49.00,DF,-39.32,5238.00,,OIL,ACTIVE,1,100184624,COM,,,1981-08-01,D,,,,,,1981-10-01,2024-03-01,353,,,,,,,,,,,,11252.67,186,6278.00,192,10505.00,184,67.5160,186,,,,689762.54,254961.00,647269.00,4861307.00,393.90,4.1386,4138.5750,255.00,755.00,17340.00,337.75,52.48,22363.33,1640.00,22090.00,10345.00,,,,37447.33,3470.00,36869.00,20948.00,224.6840,,,,3040.0000,8268.0000,170930.0000,LOS ANGELES BASIN,,CA,22,05S,12W,,,,,,,,,,,23.900000,,33.7188910,-118.1136090,,
