API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
04237305380000,UNSPECIFIED,A-819,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,19.69,,,OIL,ACTIVE,1,131096472,COM,,,2023-08-01,D,,,,,,2023-08-01,2023-08-01,1,,,,,,,,,,,,723.33,1,134.00,1,701.00,1,4.3400,1,,,,723.33,134.00,701.00,35945.00,191.16,0.0043,4.3400,134.00,701.00,35945.00,191.16,,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,15.700000,,33.7599830,-118.1821130,,
04237305370000,UNSPECIFIED,A-833,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,TAR,TAR,TAR,,,19.70,,,OIL,ACTIVE,1,131096513,COM,,,2023-08-01,D,,,,,,2023-08-01,2023-08-01,1,,,,,,,,,,,,2883.83,1,1385.00,1,2653.00,1,17.3030,1,,,,2883.83,1385.00,2653.00,28591.00,522.05,0.0173,17.3030,1385.00,2653.00,28591.00,522.05,,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,13.200000,,33.7600100,-118.1819790,,
04237305300000,UNSPECIFIED,A-655,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,14.39,,,OIL,ACTIVE,1,131096410,COM,,,2023-06-01,D,,,,,,2023-06-01,2023-08-01,3,,,,,,,,,,,,6893.00,1,1302.00,1,6676.00,1,41.3580,1,,,,16111.84,3119.00,15592.00,128663.00,200.04,0.0967,96.6710,637.00,3106.00,48281.00,205.09,203.10,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,13.400000,,33.7592500,-118.1826460,,
04237305290000,UNSPECIFIED,A-767,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,19.82,,,OIL,ACTIVE,1,131096409,COM,,,2023-06-01,D,,,,,,2023-06-01,2023-08-01,3,,,,,,,,,,,,1935.00,2,288.00,2,1887.00,2,11.6100,2,,,,4347.00,654.00,4238.00,90998.00,154.32,0.0261,26.0820,279.00,1800.00,38806.00,155.00,152.62,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,14.700000,,33.7599150,-118.1823640,,
04237305280000,UNSPECIFIED,A749,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,16.32,,,OIL,ACTIVE,1,131096512,COM,,,2023-05-01,D,,,,,,2023-05-01,2023-08-01,4,,,,,,,,,,,,974.17,4,193.00,4,942.00,4,5.8450,4,,,,2970.51,573.00,2875.00,204610.00,199.30,0.0178,17.8230,193.00,942.00,67630.00,204.88,194.88,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,16.400000,,33.7598180,-118.1825100,,
04237305230000,UNSPECIFIED,A-647,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,,,15.93,,,OIL,ACTIVE,1,130524581,COM,,,2021-01-01,D,,,,,,2021-01-01,2023-08-01,32,,,,,,,,,,,,2182.83,1,431.00,1,2111.00,1,13.0970,1,,,,38015.19,7261.00,36805.00,3278054.00,197.28,0.2281,228.0910,73.00,328.00,61538.00,222.56,201.36,11461.50,2217.00,11092.00,604302.00,,,,20131.00,3840.00,19491.00,1232466.00,120.7860,,,,1797.0000,8876.0000,1216709.0000,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,16.100000,,33.7591880,-118.1826200,,
04237305210000,UNSPECIFIED,A-764,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,UPPER TERMINAL,UPPER TERMINAL,UPPER TERMINAL,,,19.24,,,OIL,ACTIVE,1,130220627,COM,,,2021-01-01,D,,,,,,2021-01-01,2023-08-01,32,,,,,,,,,,,,1291.33,1,368.00,1,1230.00,1,7.7480,1,,,,32639.69,9052.00,31131.00,1174572.00,290.77,0.1958,195.8380,241.00,746.00,39645.00,323.06,293.69,7295.17,2041.00,6955.00,211137.00,,,,14374.33,3956.00,13715.00,424697.00,86.2460,,,,2912.0000,9730.0000,456587.0000,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,17.000000,,33.7598850,-118.1823770,33.7514256,-118.1785894
04237305200000,UNSPECIFIED,A-762,UNSPECIFIED,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,MULTIPLE,,,18.97,,,OIL,ACTIVE,2,"130226232,131096581",MULTIPLE,MULTIPLE,,2023-06-01,D,,,,,,2023-06-01,2023-08-01,3,,,,,,,,,,,,3704.67,2,1660.00,2,3428.00,2,22.2280,2,,,,5702.50,2505.00,5285.00,121053.00,473.98,0.0342,34.2150,657.00,1470.00,67080.00,446.94,484.25,,,,,,,,,,,,,,,,,,,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7598750,-118.1823940,33.7598751,-118.1823891
04237305140000,,,A-750,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,UPPER TERMINAL,UPPER TERMINAL,UPPER TERMINAL,,,16.43,,,OIL,ACTIVE,1,130220626,COM,,2018-04-06,2021-01-01,D,,,,,,2021-01-01,2023-08-01,32,,,,,,,,,,,,1583.50,25,464.00,32,1510.00,25,9.5010,25,,,,44144.99,12312.00,42093.00,1352390.00,292.50,0.2649,264.8700,464.00,1417.00,50260.00,327.45,296.46,8930.17,2503.00,8513.00,249529.00,,,,17360.00,4782.00,16563.00,483164.00,104.1600,,,,4828.0000,16020.0000,568341.0000,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,16.400000,,33.7598110,-118.1824870,,
04237305120000,,,D-708,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,35.00,DF,19.42,,,OIL,ACTIVE,1,130822464,COM,,,2022-01-01,D,,,,,,2022-01-01,2023-08-01,20,,,,,,,,,,,,1278.83,13,464.00,12,1202.00,13,7.6730,13,,,,18037.16,6595.00,16938.00,722555.00,389.36,0.1082,108.2230,454.00,1058.00,44989.00,429.11,371.79,4279.33,1502.00,4029.00,172185.00,,,,8818.33,3152.00,8293.00,365050.00,52.9100,,,,4617.0000,11649.0000,492705.0000,LOS ANGELES BASIN,,CA,17,05S,12W,,,,,,,,,,,17.000000,,33.7424160,-118.1628650,33.7424160,-118.1628650
