"","zip","date","num_odor_complaints"
"1",90,2022-07-14,1
"2",1746,2018-07-13,1
"3",2645,2020-01-24,1
"4",9033,2021-07-25,1
"5",9048,2021-12-20,1
"6",9126,2020-06-15,1
"7",9261,2018-04-25,1
"8",9264,2018-12-14,1
"9",28935,2018-01-31,1
"10",29501,2020-02-26,1
"11",72707,2018-07-16,1
"12",90001,2018-01-24,2
"13",90001,2018-01-31,1
"14",90001,2018-04-18,1
"15",90001,2018-05-18,2
"16",90001,2018-05-22,2
"17",90001,2018-05-23,1
"18",90001,2018-06-11,1
"19",90001,2018-06-24,1
"20",90001,2018-08-16,1
"21",90001,2018-10-26,1
"22",90001,2018-12-07,5
"23",90001,2019-01-13,1
"24",90001,2019-02-04,1
"25",90001,2019-02-11,1
"26",90001,2019-03-20,1
"27",90001,2019-04-15,1
"28",90001,2019-05-17,1
"29",90001,2019-06-05,1
"30",90001,2019-09-20,1
"31",90001,2019-10-04,1
"32",90001,2019-10-11,1
"33",90001,2019-10-25,1
"34",90001,2019-12-10,1
"35",90001,2020-03-25,1
"36",90001,2020-05-13,1
"37",90001,2020-10-22,1
"38",90001,2020-11-16,1
"39",90001,2020-12-08,1
"40",90001,2020-12-09,1
"41",90001,2020-12-15,1
"42",90001,2021-01-08,1
"43",90001,2021-03-03,1
"44",90001,2021-03-30,1
"45",90001,2021-08-20,1
"46",90001,2021-09-14,1
"47",90001,2021-10-01,1
"48",90001,2021-10-21,1
"49",90001,2021-12-06,1
"50",90001,2021-12-07,1
"51",90001,2022-03-29,1
"52",90001,2022-06-13,1
"53",90001,2022-06-14,1
"54",90001,2022-07-27,1
"55",90001,2022-08-01,1
"56",90001,2022-08-02,1
"57",90001,2022-08-17,1
"58",90001,2022-09-15,1
"59",90001,2022-10-13,1
"60",90001,2022-11-25,1
"61",90002,2018-02-20,1
"62",90002,2018-03-09,1
"63",90002,2018-09-27,1
"64",90002,2018-11-13,1
"65",90002,2018-11-20,1
"66",90002,2018-12-20,1
"67",90002,2019-04-08,1
"68",90002,2019-04-30,1
"69",90002,2019-06-17,1
"70",90002,2019-06-25,1
"71",90002,2019-06-27,1
"72",90002,2019-07-25,1
"73",90002,2019-09-18,1
"74",90002,2020-01-30,5
"75",90002,2020-05-18,1
"76",90002,2020-06-09,2
"77",90002,2020-10-26,1
"78",90002,2021-01-05,1
"79",90002,2021-01-06,1
"80",90002,2021-01-08,2
"81",90002,2021-01-11,1
"82",90002,2021-01-28,1
"83",90002,2021-02-05,3
"84",90002,2021-02-19,1
"85",90002,2021-04-21,1
"86",90002,2021-07-15,1
"87",90002,2021-08-05,2
"88",90002,2021-09-21,1
"89",90002,2022-01-04,1
"90",90002,2022-02-17,1
"91",90002,2022-02-19,1
"92",90002,2022-03-08,1
"93",90002,2022-03-11,1
"94",90002,2022-03-29,1
"95",90002,2022-03-30,1
"96",90002,2022-08-02,1
"97",90002,2022-09-12,1
"98",90002,2022-09-22,1
"99",90003,2018-01-10,1
"100",90003,2018-02-07,1
"101",90003,2018-02-28,1
"102",90003,2018-03-15,1
"103",90003,2018-03-19,1
"104",90003,2018-04-12,1
"105",90003,2018-05-09,1
"106",90003,2018-05-16,1
"107",90003,2018-05-17,1
"108",90003,2018-06-13,1
"109",90003,2018-06-26,1
"110",90003,2018-07-08,2
"111",90003,2018-07-11,2
"112",90003,2018-08-01,1
"113",90003,2018-08-09,1
"114",90003,2018-08-16,1
"115",90003,2018-08-23,1
"116",90003,2018-09-18,1
"117",90003,2018-09-21,2
"118",90003,2018-10-23,1
"119",90003,2018-10-30,1
"120",90003,2018-11-01,1
"121",90003,2018-11-13,1
"122",90003,2018-12-07,1
"123",90003,2018-12-19,1
"124",90003,2019-03-19,1
"125",90003,2019-04-01,1
"126",90003,2019-04-22,1
"127",90003,2019-05-07,1
"128",90003,2019-05-09,1
"129",90003,2019-06-01,1
"130",90003,2019-06-21,1
"131",90003,2019-07-30,1
"132",90003,2019-09-10,1
"133",90003,2019-09-13,1
"134",90003,2019-09-24,1
"135",90003,2019-10-16,1
"136",90003,2019-10-24,1
"137",90003,2019-10-25,2
"138",90003,2019-11-13,1
"139",90003,2019-11-15,1
"140",90003,2019-11-26,1
"141",90003,2019-12-10,1
"142",90003,2020-01-03,1
"143",90003,2020-01-14,2
"144",90003,2020-01-21,1
"145",90003,2020-01-24,1
"146",90003,2020-01-30,2
"147",90003,2020-02-21,1
"148",90003,2020-05-11,1
"149",90003,2020-05-21,1
"150",90003,2020-06-24,1
"151",90003,2020-07-20,1
"152",90003,2020-08-07,1
"153",90003,2020-08-24,1
"154",90003,2020-08-31,1
"155",90003,2020-09-05,1
"156",90003,2020-09-10,2
"157",90003,2020-09-16,1
"158",90003,2020-10-03,1
"159",90003,2020-11-27,1
"160",90003,2021-01-10,1
"161",90003,2021-01-11,1
"162",90003,2021-03-05,2
"163",90003,2021-04-07,1
"164",90003,2021-05-22,1
"165",90003,2021-07-08,1
"166",90003,2021-07-27,1
"167",90003,2021-08-01,1
"168",90003,2021-08-02,1
"169",90003,2021-08-09,1
"170",90003,2021-09-09,1
"171",90003,2021-09-11,1
"172",90003,2021-09-24,1
"173",90003,2021-10-01,1
"174",90003,2021-10-09,1
