"","date","zip","num_odor_complaints"
"1",2018-01-01,90277,1
"2",2018-01-01,90710,1
"3",2018-01-02,90058,1
"4",2018-01-02,90063,1
"5",2018-01-02,90221,1
"6",2018-01-02,90803,1
"7",2018-01-02,90805,1
"8",2018-01-02,90807,1
"9",2018-01-02,91104,1
"10",2018-01-02,91406,2
"11",2018-01-02,91761,1
"12",2018-01-02,92407,1
"13",2018-01-02,92509,1
"14",2018-01-03,90007,1
"15",2018-01-03,90023,1
"16",2018-01-03,90058,2
"17",2018-01-03,90221,1
"18",2018-01-03,90247,1
"19",2018-01-03,90248,2
"20",2018-01-03,90249,3
"21",2018-01-03,90277,1
"22",2018-01-03,90278,2
"23",2018-01-03,90291,1
"24",2018-01-03,90302,1
"25",2018-01-03,90501,2
"26",2018-01-03,90504,1
"27",2018-01-03,90605,1
"28",2018-01-03,90631,1
"29",2018-01-03,90723,2
"30",2018-01-03,90745,1
"31",2018-01-03,91326,1
"32",2018-01-03,91384,1
"33",2018-01-03,91401,1
"34",2018-01-03,91746,1
"35",2018-01-03,91748,1
"36",2018-01-03,91761,1
"37",2018-01-03,92260,1
"38",2018-01-03,92401,1
"39",2018-01-03,92408,1
"40",2018-01-03,92694,1
"41",2018-01-03,92806,1
"42",2018-01-03,92841,1
"43",2018-01-04,90015,1
"44",2018-01-04,90058,1
"45",2018-01-04,90220,1
"46",2018-01-04,90293,1
"47",2018-01-04,90302,1
"48",2018-01-04,90745,3
"49",2018-01-04,90802,1
"50",2018-01-04,91326,1
"51",2018-01-04,91739,1
"52",2018-01-04,91746,1
"53",2018-01-04,92602,1
"54",2018-01-04,92627,1
"55",2018-01-04,92782,2
"56",2018-01-04,92804,1
"57",2018-01-04,92832,1
"58",2018-01-05,90063,1
"59",2018-01-05,90501,1
"60",2018-01-05,90701,1
"61",2018-01-05,90723,2
"62",2018-01-05,90746,1
"63",2018-01-05,91009,1
"64",2018-01-05,91104,1
"65",2018-01-05,91326,2
"66",2018-01-05,91343,1
"67",2018-01-05,91344,1
"68",2018-01-05,91710,1
"69",2018-01-05,91746,1
"70",2018-01-05,92336,1
"71",2018-01-05,92618,1
"72",2018-01-06,90740,1
"73",2018-01-06,91311,1
"74",2018-01-06,91326,2
"75",2018-01-06,91343,1
"76",2018-01-06,92880,3
"77",2018-01-07,91342,1
"78",2018-01-07,92694,1
"79",2018-01-08,90022,1
"80",2018-01-08,90048,1
"81",2018-01-08,90277,1
"82",2018-01-08,90723,4
"83",2018-01-08,91342,1
"84",2018-01-08,91344,1
"85",2018-01-08,91411,1
"86",2018-01-08,92694,3
"87",2018-01-08,92843,1
"88",2018-01-09,90022,1
"89",2018-01-09,90250,1
"90",2018-01-09,90723,2
"91",2018-01-09,90740,1
"92",2018-01-09,90745,1
"93",2018-01-09,91326,2
"94",2018-01-09,92649,1
"95",2018-01-10,90003,1
"96",2018-01-10,90021,1
"97",2018-01-10,90042,1
"98",2018-01-10,90807,1
"99",2018-01-10,90808,1
"100",2018-01-10,91311,2
"101",2018-01-10,91324,1
"102",2018-01-10,91326,12
"103",2018-01-10,91342,3
"104",2018-01-11,90061,1
"105",2018-01-11,90275,1
"106",2018-01-11,91326,2
"107",2018-01-11,91342,4
"108",2018-01-11,91344,2
"109",2018-01-11,91708,1
"110",2018-01-11,91746,1
"111",2018-01-11,92821,1
"112",2018-01-12,90601,1
"113",2018-01-12,90670,1
"114",2018-01-12,90720,1
"115",2018-01-12,90723,1
"116",2018-01-12,90802,1
"117",2018-01-12,91326,2
"118",2018-01-12,91335,1
"119",2018-01-12,91344,1
"120",2018-01-12,91746,1
"121",2018-01-12,92530,1
"122",2018-01-12,92605,1
"123",2018-01-12,92649,1
"124",2018-01-12,92701,4
"125",2018-01-13,90202,2
"126",2018-01-13,91326,3
"127",2018-01-14,90245,1
"128",2018-01-14,90640,2
"129",2018-01-14,91326,1
"130",2018-01-14,91384,1
"131",2018-01-14,91733,1
"132",2018-01-14,92694,1
"133",2018-01-14,92841,1
"134",2018-01-15,90004,1
"135",2018-01-15,90270,1
"136",2018-01-15,90504,1
"137",2018-01-15,90731,2
"138",2018-01-15,91326,2
"139",2018-01-15,91335,1
"140",2018-01-15,91342,5
"141",2018-01-15,91384,1
"142",2018-01-15,91411,1
"143",2018-01-15,92627,1
"144",2018-01-15,92806,2
"145",2018-01-15,92841,1
"146",2018-01-16,90021,1
"147",2018-01-16,90023,1
"148",2018-01-16,90277,1
"149",2018-01-16,90401,1
"150",2018-01-16,90604,2
"151",2018-01-16,90745,1
"152",2018-01-16,90802,1
"153",2018-01-16,90808,1
"154",2018-01-16,91310,1
"155",2018-01-16,91311,2
"156",2018-01-16,91326,5
"157",2018-01-16,91335,1
"158",2018-01-16,91344,1
"159",2018-01-16,91384,2
"160",2018-01-16,91411,1
"161",2018-01-16,91746,1
"162",2018-01-16,92694,2
"163",2018-01-17,90210,1
"164",2018-01-17,90280,3
"165",2018-01-17,90723,1
"166",2018-01-17,90742,1
"167",2018-01-17,91326,4
"168",2018-01-17,91335,1
"169",2018-01-17,91342,2
"170",2018-01-17,91352,1
"171",2018-01-17,91384,2
"172",2018-01-17,91423,1
"173",2018-01-17,91602,1
"174",2018-01-17,91746,1
"175",2018-01-17,91761,1
"176",2018-01-17,92401,1
"177",2018-01-17,92627,1
"178",2018-01-17,92647,1
"179",2018-01-17,92649,1
"180",2018-01-18,90012,2
"181",2018-01-18,90503,2
"182",2018-01-18,90640,1
"183",2018-01-18,90723,1
"184",2018-01-18,90744,1
"185",2018-01-18,90745,1
"186",2018-01-18,90746,1
"187",2018-01-18,90814,1
"188",2018-01-18,91326,2
"189",2018-01-18,91342,1
"190",2018-01-18,91344,2
"191",2018-01-19,90017,1
"192",2018-01-19,90025,1
"193",2018-01-19,90065,1
"194",2018-01-19,90723,1
"195",2018-01-19,90744,1
"196",2018-01-19,90745,1
"197",2018-01-19,91342,1
"198",2018-01-19,91384,1
