GCV,month,weekday,wd_avg,ws_avg,daily_downwind_ref,closest_wrp_capacity,I(1/dist_wrp^2),I(1/dist_ref^2),"s(I(mon_utm_x/10^3), I(mon_utm_y/10^3), bs='tp', k = 10)","te(I(mon_utm_x/10^3), I(mon_utm_y/10^3),as.numeric(day), k=c(10,10),d=c(2,1),bs=c('tp','cc'))",monthly_oil_2km,monthly_gas_2km,active_2km,inactive_2km,daily_downwind_wrp,elevation,EVI,num_odor_complaints,I(1/dist_dc^2),daily_temp,daily_hum,daily_precip
4286.1762659641945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4259.174144148978,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4252.151116384813,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
4247.427123437811,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
4242.452160607682,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
4239.569304156385,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
4239.316166946481,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
4238.766880466504,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1
4234.825204899463,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1
4229.660022248759,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1
