GCV,month,weekday,wd_avg,ws_avg,daily_downwind_ref,closest_wrp_capacity,I(1/dist_wrp^2),I(1/dist_ref^2),"s(I(mon_utm_x/10^3), I(mon_utm_y/10^3), bs='tp', k = 10)","te(I(mon_utm_x/10^3), I(mon_utm_y/10^3),as.numeric(day), k=c(10,10),d=c(2,1),bs=c('tp','cc'))",monthly_oil_2km,monthly_gas_2km,active_2km,inactive_2km,daily_downwind_wrp,elevation,EVI,num_odor_complaints,I(1/dist_dc^2),daily_temp,daily_hum,daily_precip
470564.059553315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304735.3805923865,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
266858.91699175135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
255759.54990344367,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
254733.93893163162,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
254201.8355297729,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
253741.25871118327,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
253656.58589313334,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
253624.22983385832,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
253624.22199610758,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
253624.21415843102,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0
